first,second,third
und,einen,laternenanzünder
einen,laternenanzünder,der
laternenanzünder,der,kleine
der,kleine,prinz
kleine,prinz,konnte
prinz,konnte,sich
konnte,sich,nicht
sich,nicht,erklären
nicht,erklären,wozu
erklären,wozu,man
wozu,man,irgendwo
man,irgendwo,im
irgendwo,im,himmel
im,himmel,auf
himmel,auf,einem
auf,einem,planeten
einem,planeten,ohne
planeten,ohne,häuser
ohne,häuser,und
häuser,und,menschen
und,menschen,eine
menschen,eine,straßenlaterne
eine,straßenlaterne,und
straßenlaterne,und,einen
und,einen,laternenanzünder
einen,laternenanzünder,gebrauchen
laternenanzünder,gebrauchen,könnte
gebrauchen,könnte,dennoch
könnte,dennoch,sagte
dennoch,sagte,er
sagte,er,sich
er,sich,gut
sich,gut,möglich
gut,möglich,dass
möglich,dass,dieser
dass,dieser,mann
dieser,mann,merkwürdig
mann,merkwürdig,ist
merkwürdig,ist,dennoch
ist,dennoch,ist
dennoch,ist,er
ist,er,nicht
er,nicht,so
nicht,so,merkwürdig
so,merkwürdig,wie
merkwürdig,wie,der
wie,der,könig
der,könig,der
könig,der,eitle
der,eitle,der
eitle,der,geschäftsmann
der,geschäftsmann,oder
geschäftsmann,oder,der
oder,der,säufer
der,säufer,seine
säufer,seine,arbeit
seine,arbeit,hat
arbeit,hat,zumindest
hat,zumindest,einen
zumindest,einen,sinn
einen,sinn,wenn
sinn,wenn,er
wenn,er,seine
er,seine,laterne
seine,laterne,anzündet
laterne,anzündet,dann
anzündet,dann,ist
dann,ist,es
ist,es,so
es,so,als
so,als,würde
als,würde,er
würde,er,einen
er,einen,neuen
einen,neuen,stern
neuen,stern,erschaffen
stern,erschaffen,oder
erschaffen,oder,eine
oder,eine,blume
eine,blume,wenn
blume,wenn,er
wenn,er,seine
er,seine,laterne
seine,laterne,löscht
laterne,löscht,schläft
löscht,schläft,ein
schläft,ein,stern
ein,stern,ein
stern,ein,oder
ein,oder,eine
oder,eine,blume
eine,blume,das
blume,das,ist
das,ist,eine
ist,eine,sehr
eine,sehr,schöne
sehr,schöne,beschäftigung
schöne,beschäftigung,es
beschäftigung,es,ist
es,ist,wirklich
ist,wirklich,nützlich
wirklich,nützlich,weil
nützlich,weil,es
weil,es,schön
es,schön,ist
schön,ist,als
ist,als,er
als,er,auf
er,auf,dem
auf,dem,planeten
dem,planeten,landete
planeten,landete,grüßte
landete,grüßte,er
grüßte,er,den
er,den,laternenanzünder
den,laternenanzünder,respektvoll
laternenanzünder,respektvoll,guten
respektvoll,guten,tag
guten,tag,warum
tag,warum,hast
warum,hast,du
hast,du,denn
du,denn,gerade
denn,gerade,deine
gerade,deine,laterne
deine,laterne,gelöscht
laterne,gelöscht,so
gelöscht,so,lautet
so,lautet,die
lautet,die,vorschrift
die,vorschrift,sagte
vorschrift,sagte,der
sagte,der,laternenanzünder
der,laternenanzünder,guten
laternenanzünder,guten,tag
guten,tag,was
tag,was,ist
was,ist,die
ist,die,vorschrift
die,vorschrift,die
vorschrift,die,laterne
die,laterne,zu
laterne,zu,löschen
zu,löschen,guten
löschen,guten,abend
guten,abend,und
abend,und,er
und,er,zündete
er,zündete,sie
zündete,sie,wieder
sie,wieder,an
wieder,an,warum
an,warum,hast
warum,hast,du
hast,du,sie
du,sie,nun
sie,nun,wieder
nun,wieder,angezündet
wieder,angezündet,das
angezündet,das,ist
das,ist,die
ist,die,vorschrift
die,vorschrift,antwortete
vorschrift,antwortete,der
antwortete,der,laternenanzünder
der,laternenanzünder,ich
laternenanzünder,ich,verstehe
ich,verstehe,es
verstehe,es,nicht
es,nicht,sagte
nicht,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,da
prinz,da,gibt
da,gibt,es
gibt,es,nichts
es,nichts,zu
nichts,zu,verstehen
zu,verstehen,sagte
verstehen,sagte,der
sagte,der,laternenanzünder
der,laternenanzünder,vorschrift
laternenanzünder,vorschrift,ist
vorschrift,ist,vorschrift
ist,vorschrift,guten
vorschrift,guten,tag
guten,tag,und
tag,und,er
und,er,machte
er,machte,die
machte,die,laterne
die,laterne,ausdann
laterne,ausdann,wischte
ausdann,wischte,er
wischte,er,sich
er,sich,mit
sich,mit,einem
mit,einem,rotkarierten
einem,rotkarierten,taschentuch
rotkarierten,taschentuch,die
taschentuch,die,stirn
die,stirn,ab
stirn,ab,ich
ab,ich,habe
ich,habe,einen
habe,einen,schrecklichen
einen,schrecklichen,beruf
schrecklichen,beruf,früher
beruf,früher,war
früher,war,das
war,das,vernünftig
das,vernünftig,am
vernünftig,am,morgen
am,morgen,löschte
morgen,löschte,ich
löschte,ich,sie
ich,sie,aus
sie,aus,und
aus,und,am
und,am,abend
am,abend,zündete
abend,zündete,ich
zündete,ich,sie
ich,sie,wieder
sie,wieder,an
wieder,an,der
an,der,rest
der,rest,des
rest,des,tages
des,tages,blieb
tages,blieb,mir
blieb,mir,zum
mir,zum,erholen
zum,erholen,und
erholen,und,die
und,die,nacht
die,nacht,zum
nacht,zum,schlafen
zum,schlafen,und
schlafen,und,seitdem
und,seitdem,wurde
seitdem,wurde,die
wurde,die,vorschrift
die,vorschrift,geändert
vorschrift,geändert,die
geändert,die,vorschrift
die,vorschrift,hat
vorschrift,hat,sich
hat,sich,nicht
sich,nicht,geändert
nicht,geändert,sagte
geändert,sagte,der
sagte,der,laternenanzünder
der,laternenanzünder,das
laternenanzünder,das,ist
das,ist,ja
ist,ja,das
ja,das,drama
das,drama,der
drama,der,planet
der,planet,hat
planet,hat,sich
hat,sich,von
sich,von,jahr
von,jahr,zu
jahr,zu,jahr
zu,jahr,schneller
jahr,schneller,gedreht
schneller,gedreht,aber
gedreht,aber,die
aber,die,vorschrift
die,vorschrift,wurde
vorschrift,wurde,nicht
wurde,nicht,geändert
nicht,geändert,ja
geändert,ja,und
ja,und,sagte
und,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,jetzt
prinz,jetzt,dreht
jetzt,dreht,er
dreht,er,sich
er,sich,ein
sich,ein,mal
ein,mal,pro
mal,pro,minute
pro,minute,mir
minute,mir,bleibt
mir,bleibt,keine
bleibt,keine,sekunde
keine,sekunde,pause
sekunde,pause,pro
pause,pro,minute
pro,minute,zünde
minute,zünde,ich
zünde,ich,einmal
ich,einmal,an
einmal,an,und
an,und,lösche
und,lösche,einmal
lösche,einmal,aus
einmal,aus,das
aus,das,ist
das,ist,lustig
ist,lustig,bei
lustig,bei,dir
bei,dir,dauern
dir,dauern,die
dauern,die,tage
die,tage,nur
tage,nur,eine
nur,eine,minute
eine,minute,das
minute,das,ist
das,ist,überhaupt
ist,überhaupt,nicht
überhaupt,nicht,lustig
nicht,lustig,sagte
lustig,sagte,der
sagte,der,laternenanzünder
der,laternenanzünder,jetzt
laternenanzünder,jetzt,reden
jetzt,reden,wir
reden,wir,schon
wir,schon,einen
schon,einen,monat
einen,monat,lang
monat,lang,miteinander
lang,miteinander,einen
miteinander,einen,monat
einen,monat,ja
monat,ja,dreißig
ja,dreißig,minuten
dreißig,minuten,dreißig
minuten,dreißig,tage
dreißig,tage,guten
tage,guten,abend
guten,abend,und
abend,und,er
und,er,zündete
er,zündete,seine
zündete,seine,laterne
seine,laterne,wieder
laterne,wieder,an
wieder,an,der
an,der,kleine
der,kleine,prinz
kleine,prinz,schaute
prinz,schaute,ihn
schaute,ihn,an
ihn,an,und
an,und,er
und,er,liebte
er,liebte,diesen
liebte,diesen,anzünder
diesen,anzünder,der
anzünder,der,sich
der,sich,so
sich,so,streng
so,streng,an
streng,an,die
an,die,vorschrift
die,vorschrift,hielt
vorschrift,hielt,er
hielt,er,erinnerte
er,erinnerte,sich
erinnerte,sich,an
sich,an,die
an,die,sonnenuntergänge
die,sonnenuntergänge,und
sonnenuntergänge,und,wie
und,wie,er
wie,er,auf
er,auf,deren
auf,deren,suche
deren,suche,früher
suche,früher,seinen
früher,seinen,stuhl
seinen,stuhl,rückte
stuhl,rückte,er
rückte,er,wollte
er,wollte,seinem
wollte,seinem,freund
seinem,freund,helfen
freund,helfen,weißt
helfen,weißt,du
weißt,du,ich
du,ich,weiß
ich,weiß,einen
weiß,einen,weg
einen,weg,wie
weg,wie,du
wie,du,dich
du,dich,ausruhen
dich,ausruhen,kannst
ausruhen,kannst,wann
kannst,wann,immer
wann,immer,du
immer,du,möchtest
du,möchtest,immer
möchtest,immer,her
immer,her,damit
her,damit,sagte
damit,sagte,der
sagte,der,laternenanzünder
der,laternenanzünder,man
laternenanzünder,man,kann
man,kann,gleichzeitig
kann,gleichzeitig,pflichtbewusst
gleichzeitig,pflichtbewusst,und
pflichtbewusst,und,faul
und,faul,sein
faul,sein,der
sein,der,kleine
der,kleine,prinz
kleine,prinz,fuhr
prinz,fuhr,fort
fuhr,fort,dein
fort,dein,planet
dein,planet,ist
planet,ist,derart
ist,derart,klein
derart,klein,dass
klein,dass,du
dass,du,ihn
du,ihn,mit
ihn,mit,drei
mit,drei,hüpfern
drei,hüpfern,umrundet
hüpfern,umrundet,hast
umrundet,hast,du
hast,du,musst
du,musst,nur
musst,nur,sehr
nur,sehr,langsam
sehr,langsam,laufen
langsam,laufen,um
laufen,um,immer
um,immer,in
immer,in,der
in,der,sonne
der,sonne,zu
sonne,zu,bleiben
zu,bleiben,wenn
bleiben,wenn,du
wenn,du,dich
du,dich,ausruhen
dich,ausruhen,willst
ausruhen,willst,läufst
willst,läufst,du
läufst,du,und
du,und,der
und,der,tag
der,tag,dauert
tag,dauert,so
dauert,so,lange
so,lange,wie
lange,wie,du
wie,du,magst
du,magst,das
magst,das,bringt
das,bringt,mich
bringt,mich,nicht
mich,nicht,sonderlich
nicht,sonderlich,weiter
sonderlich,weiter,sagte
weiter,sagte,der
sagte,der,anzünder
der,anzünder,was
anzünder,was,ich
was,ich,im
ich,im,leben
im,leben,liebe
leben,liebe,ist
liebe,ist,das
ist,das,schlafen
das,schlafen,dann
schlafen,dann,bringt
dann,bringt,es
bringt,es,nichts
es,nichts,dann
nichts,dann,bringt
dann,bringt,es
bringt,es,wohl
es,wohl,nichts
wohl,nichts,sagte
nichts,sagte,der
sagte,der,anzünder
der,anzünder,guten
anzünder,guten,tag
guten,tag,und
tag,und,er
und,er,löschte
er,löschte,seine
löschte,seine,laterne
seine,laterne,dieser
laterne,dieser,kerl
dieser,kerl,sagte
kerl,sagte,sich
sagte,sich,der
sich,der,kleine
der,kleine,prinz
kleine,prinz,während
prinz,während,er
während,er,seine
er,seine,reise
seine,reise,fortsetzte
reise,fortsetzte,dieser
fortsetzte,dieser,kerl
dieser,kerl,würde
kerl,würde,von
würde,von,allen
von,allen,anderen
allen,anderen,verachtet
anderen,verachtet,werden
verachtet,werden,vom
werden,vom,könig
vom,könig,vom
könig,vom,eitlen
vom,eitlen,vom
eitlen,vom,säufer
vom,säufer,und
säufer,und,vom
und,vom,geschäftsmann
vom,geschäftsmann,dennoch
geschäftsmann,dennoch,ist
dennoch,ist,er
ist,er,der
er,der,einzige
der,einzige,der
einzige,der,mir
der,mir,nicht
mir,nicht,lächerlich
nicht,lächerlich,vorkommt
lächerlich,vorkommt,vielleicht
vorkommt,vielleicht,weil
vielleicht,weil,er
weil,er,sich
er,sich,nicht
sich,nicht,nur
nicht,nur,mit
nur,mit,sich
mit,sich,selbst
sich,selbst,beschäftigt
selbst,beschäftigt,er
beschäftigt,er,seufzte
er,seufzte,vor
seufzte,vor,bedauern
vor,bedauern,und
bedauern,und,sagte
und,sagte,sich
sagte,sich,noch
sich,noch,dieser
noch,dieser,kerl
dieser,kerl,ist
kerl,ist,der
ist,der,einzige
der,einzige,mit
einzige,mit,dem
mit,dem,ich
dem,ich,mich
ich,mich,angefreundet
mich,angefreundet,hätte
angefreundet,hätte,aber
hätte,aber,sein
aber,sein,planet
sein,planet,ist
planet,ist,wirklich
ist,wirklich,zu
wirklich,zu,klein
zu,klein,es
klein,es,gibt
es,gibt,keinen
gibt,keinen,platz
keinen,platz,für
platz,für,zwei
für,zwei,was
zwei,was,sich
was,sich,der
sich,der,kleine
der,kleine,prinz
kleine,prinz,nicht
prinz,nicht,einzugestehen
nicht,einzugestehen,wagte
einzugestehen,wagte,war
wagte,war,dass
war,dass,er
dass,er,diesem
er,diesem,planeten
diesem,planeten,vor
planeten,vor,allem
vor,allem,wegen
allem,wegen,der
wegen,der,tausendvierhundertvierzig
der,tausendvierhundertvierzig,sonnenuntergänge
tausendvierhundertvierzig,sonnenuntergänge,in
sonnenuntergänge,in,vierundzwanzig
in,vierundzwanzig,stunden
vierundzwanzig,stunden,nachtrauerte
stunden,nachtrauerte,der
nachtrauerte,der,sechste
der,sechste,planet
sechste,planet,war
planet,war,um
war,um,das
um,das,zehnfache
das,zehnfache,größer
zehnfache,größer,hier
größer,hier,wohnte
hier,wohnte,ein
wohnte,ein,alter
ein,alter,herr
alter,herr,der
herr,der,dicke
der,dicke,bücher
dicke,bücher,schrieb
bücher,schrieb,sieh
schrieb,sieh,da
sieh,da,ein
da,ein,forscher
ein,forscher,freute
forscher,freute,er
freute,er,sich
er,sich,als
sich,als,er
als,er,den
er,den,kleinen
den,kleinen,prinzen
kleinen,prinzen,erblickte
prinzen,erblickte,der
erblickte,der,kleine
der,kleine,prinz
kleine,prinz,setzte
prinz,setzte,sich
setzte,sich,an
sich,an,den
an,den,tisch
den,tisch,um
tisch,um,ein
um,ein,wenig
ein,wenig,zu
wenig,zu,verschnaufen
zu,verschnaufen,er
verschnaufen,er,war
er,war,schon
war,schon,so
schon,so,viel
so,viel,herumgereist
viel,herumgereist,wo
herumgereist,wo,kommst
wo,kommst,du
kommst,du,her
du,her,fragte
her,fragte,ihn
fragte,ihn,der
ihn,der,alte
der,alte,herr
alte,herr,was
herr,was,ist
was,ist,das
ist,das,für
das,für,ein
für,ein,dickes
ein,dickes,buch
dickes,buch,sagte
buch,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,was
prinz,was,treiben
was,treiben,sie
treiben,sie,hier
sie,hier,ich
hier,ich,bin
ich,bin,geograph
bin,geograph,sagte
geograph,sagte,der
sagte,der,alte
der,alte,was
alte,was,ist
was,ist,ein
ist,ein,geograph
ein,geograph,das
geograph,das,ist
das,ist,ein
ist,ein,wissenschaftler
ein,wissenschaftler,der
wissenschaftler,der,weiß
der,weiß,wo
weiß,wo,sich
wo,sich,die
sich,die,meere
die,meere,befinden
meere,befinden,die
befinden,die,flüsse
die,flüsse,die
flüsse,die,städte
die,städte,die
städte,die,berge
die,berge,und
berge,und,die
und,die,wüsten
die,wüsten,das
wüsten,das,ist
das,ist,sehr
ist,sehr,interessant
sehr,interessant,sagte
interessant,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,das
prinz,das,ist
das,ist,endlich
ist,endlich,mal
endlich,mal,ein
mal,ein,richtiger
ein,richtiger,beruf
richtiger,beruf,er
beruf,er,schaute
er,schaute,sich
schaute,sich,den
sich,den,planeten
den,planeten,des
planeten,des,geographen
des,geographen,an
geographen,an,er
an,er,hatte
er,hatte,noch
hatte,noch,niemals
noch,niemals,einen
niemals,einen,so
einen,so,herrschaftlichen
so,herrschaftlichen,planeten
herrschaftlichen,planeten,gesehen
planeten,gesehen,er
gesehen,er,ist
er,ist,so
ist,so,wunderschön
so,wunderschön,euer
wunderschön,euer,planet
euer,planet,gibt
planet,gibt,es
gibt,es,meere
es,meere,das
meere,das,kann
das,kann,ich
kann,ich,nicht
ich,nicht,wissen
nicht,wissen,sagte
wissen,sagte,der
sagte,der,geograph
der,geograph,ah
geograph,ah,der
ah,der,kleine
der,kleine,prinz
kleine,prinz,war
prinz,war,schon
war,schon,enttäuscht
schon,enttäuscht,und
enttäuscht,und,berge
und,berge,das
berge,das,kann
das,kann,ich
kann,ich,nicht
ich,nicht,wissen
nicht,wissen,sagte
wissen,sagte,der
sagte,der,geograph
der,geograph,und
geograph,und,städte
und,städte,und
städte,und,flüsse
und,flüsse,und
flüsse,und,wüsten
und,wüsten,auch
wüsten,auch,das
auch,das,kann
das,kann,ich
kann,ich,nicht
ich,nicht,wissen
nicht,wissen,sagte
wissen,sagte,der
sagte,der,geograph
der,geograph,aber
geograph,aber,sie
aber,sie,sind
sie,sind,doch
sind,doch,geograph
doch,geograph,das
geograph,das,stimmt
das,stimmt,wohl
stimmt,wohl,sagte
wohl,sagte,der
sagte,der,geograph
der,geograph,aber
geograph,aber,ich
aber,ich,bin
ich,bin,kein
bin,kein,forscher
kein,forscher,mir
forscher,mir,fehlt
mir,fehlt,es
fehlt,es,an
es,an,forschergeist
an,forschergeist,nicht
forschergeist,nicht,der
nicht,der,geograph
der,geograph,wird
geograph,wird,die
wird,die,städte
die,städte,flüsse
städte,flüsse,berge
flüsse,berge,meere
berge,meere,ozeane
meere,ozeane,und
ozeane,und,wüsten
und,wüsten,zählen
wüsten,zählen,der
zählen,der,geograph
der,geograph,ist
geograph,ist,zu
ist,zu,bedeutend
zu,bedeutend,um
bedeutend,um,sich
um,sich,herumzutreiben
sich,herumzutreiben,er
herumzutreiben,er,verlässt
er,verlässt,seinen
verlässt,seinen,schreibtisch
seinen,schreibtisch,nicht
schreibtisch,nicht,aber
nicht,aber,er
aber,er,empfängt
er,empfängt,die
empfängt,die,forscher
die,forscher,er
forscher,er,befragt
er,befragt,sie
befragt,sie,er
sie,er,notiert
er,notiert,ihre
notiert,ihre,erinnerungen
ihre,erinnerungen,und
erinnerungen,und,wenn
und,wenn,die
wenn,die,erinnerungen
die,erinnerungen,ihm
erinnerungen,ihm,interessant
ihm,interessant,erscheinen
interessant,erscheinen,veranlasst
erscheinen,veranlasst,der
veranlasst,der,geograph
der,geograph,eine
geograph,eine,untersuchung
eine,untersuchung,über
untersuchung,über,die
über,die,glaubwürdigkeit
die,glaubwürdigkeit,des
glaubwürdigkeit,des,forschers
des,forschers,wozu
forschers,wozu,denn
wozu,denn,weil
denn,weil,ein
weil,ein,forscher
ein,forscher,der
forscher,der,lügen
der,lügen,verbreitet
lügen,verbreitet,an
verbreitet,an,katastrophen
an,katastrophen,in
katastrophen,in,unseren
in,unseren,geographiebüchern
unseren,geographiebüchern,schuld
geographiebüchern,schuld,wäre
schuld,wäre,und
wäre,und,auch
und,auch,ein
auch,ein,forscher
ein,forscher,der
forscher,der,zu
der,zu,viel
zu,viel,säuft
viel,säuft,wie
säuft,wie,das
wie,das,fragte
das,fragte,der
fragte,der,kleine
der,kleine,prinz
kleine,prinz,weil
prinz,weil,betrunkene
weil,betrunkene,doppelt
betrunkene,doppelt,sehen
doppelt,sehen,so
sehen,so,würde
so,würde,der
würde,der,geograph
der,geograph,zwei
geograph,zwei,berge
zwei,berge,verzeichnen
berge,verzeichnen,wo
verzeichnen,wo,es
wo,es,nur
es,nur,einen
nur,einen,einzigen
einen,einzigen,gibt
einzigen,gibt,ich
gibt,ich,kenne
ich,kenne,da
kenne,da,jemanden
da,jemanden,sagte
jemanden,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,der
prinz,der,ein
der,ein,schlechter
ein,schlechter,forscher
schlechter,forscher,wäre
forscher,wäre,das
wäre,das,ist
das,ist,wohl
ist,wohl,möglich
wohl,möglich,wenn
möglich,wenn,der
wenn,der,forscher
der,forscher,also
forscher,also,glaubwürdig
also,glaubwürdig,erscheint
glaubwürdig,erscheint,dann
erscheint,dann,macht
dann,macht,man
macht,man,eine
man,eine,untersuchung
eine,untersuchung,über
untersuchung,über,seine
über,seine,entdeckung
seine,entdeckung,schaut
entdeckung,schaut,man
schaut,man,nach
man,nach,nein
nach,nein,das
nein,das,ist
das,ist,zu
ist,zu,kompliziert
zu,kompliziert,aber
kompliziert,aber,man
aber,man,verlangt
man,verlangt,von
verlangt,von,dem
von,dem,forscher
dem,forscher,dass
forscher,dass,er
dass,er,beweise
er,beweise,liefert
beweise,liefert,handelt
liefert,handelt,es
handelt,es,sich
es,sich,beispielsweise
sich,beispielsweise,um
beispielsweise,um,die
um,die,entdeckung
die,entdeckung,eines
entdeckung,eines,großen
eines,großen,berges
großen,berges,so
berges,so,verlangt
so,verlangt,man
verlangt,man,von
man,von,ihm
von,ihm,steine
ihm,steine,von
steine,von,dort
von,dort,mitzubringen
dort,mitzubringen,plötzlich
mitzubringen,plötzlich,war
plötzlich,war,der
war,der,geograph
der,geograph,ganz
geograph,ganz,aufgeregt
ganz,aufgeregt,aber
aufgeregt,aber,du
aber,du,du
du,du,kommst
du,kommst,doch
kommst,doch,von
doch,von,weit
von,weit,her
weit,her,du
her,du,bist
du,bist,ein
bist,ein,forscher
ein,forscher,du
forscher,du,wirst
du,wirst,mir
wirst,mir,deinen
mir,deinen,planeten
deinen,planeten,beschreiben
planeten,beschreiben,und
beschreiben,und,der
und,der,geograph
der,geograph,hatte
geograph,hatte,schon
hatte,schon,sein
schon,sein,verzeichnis
sein,verzeichnis,aufgeschlagen
verzeichnis,aufgeschlagen,und
aufgeschlagen,und,spitze
und,spitze,seinen
spitze,seinen,bleistift
seinen,bleistift,zuerst
bleistift,zuerst,notiert
zuerst,notiert,man
notiert,man,die
man,die,berichte
die,berichte,der
berichte,der,forscher
der,forscher,mit
forscher,mit,dem
mit,dem,bleistift
dem,bleistift,mit
bleistift,mit,der
mit,der,tinte
der,tinte,wartet
tinte,wartet,man
wartet,man,so
man,so,lange
so,lange,bis
lange,bis,der
bis,der,forscher
der,forscher,die
forscher,die,beweise
die,beweise,geliefert
beweise,geliefert,hat
geliefert,hat,also
hat,also,fragte
also,fragte,der
fragte,der,geograph
der,geograph,oh
geograph,oh,bei
oh,bei,mir
bei,mir,sagte
mir,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,ist
prinz,ist,es
ist,es,nicht
es,nicht,sonderlich
nicht,sonderlich,interessant
sonderlich,interessant,es
interessant,es,ist
es,ist,winzig
ist,winzig,ich
winzig,ich,habe
ich,habe,drei
habe,drei,vulkane
drei,vulkane,zwei
vulkane,zwei,sind
zwei,sind,aktiv
sind,aktiv,und
aktiv,und,einer
und,einer,ist
einer,ist,erloschen
ist,erloschen,aber
erloschen,aber,man
aber,man,weiß
man,weiß,ja
weiß,ja,nie
ja,nie,man
nie,man,weiß
man,weiß,nie
weiß,nie,sagte
nie,sagte,der
sagte,der,geograph
der,geograph,eine
geograph,eine,blume
eine,blume,habe
blume,habe,ich
habe,ich,auch
ich,auch,wir
auch,wir,schreiben
wir,schreiben,keine
schreiben,keine,blumen
keine,blumen,auf
blumen,auf,sagte
auf,sagte,der
sagte,der,geograph
der,geograph,wieso
geograph,wieso,das
wieso,das,ist
das,ist,doch
ist,doch,das
doch,das,schönste
das,schönste,weil
schönste,weil,blumen
weil,blumen,vergänglich
blumen,vergänglich,sind
vergänglich,sind,was
sind,was,heißt
was,heißt,vergänglich
heißt,vergänglich,geographiebücher
vergänglich,geographiebücher,sind
geographiebücher,sind,von
sind,von,allen
von,allen,büchern
allen,büchern,die
büchern,die,wertvollsten
die,wertvollsten,sie
wertvollsten,sie,sind
sie,sind,nie
sind,nie,überholt
nie,überholt,es
überholt,es,ist
es,ist,sehr
ist,sehr,selten
sehr,selten,dass
selten,dass,ein
dass,ein,berg
ein,berg,seinen
berg,seinen,platz
seinen,platz,ändert
platz,ändert,es
ändert,es,ist
es,ist,selten
ist,selten,dass
selten,dass,sich
dass,sich,ein
sich,ein,ozean
ein,ozean,leert
ozean,leert,wir
leert,wir,schreiben
wir,schreiben,ewige
schreiben,ewige,dinge
ewige,dinge,auf
dinge,auf,aber
auf,aber,erloschene
aber,erloschene,vulkane
erloschene,vulkane,können
vulkane,können,wieder
können,wieder,ausbrechen
wieder,ausbrechen,unterbrach
ausbrechen,unterbrach,ihn
unterbrach,ihn,der
ihn,der,kleine
der,kleine,prinz
kleine,prinz,was
prinz,was,bedeutet
was,bedeutet,vergänglich
bedeutet,vergänglich,ob
vergänglich,ob,vulkane
ob,vulkane,nun
vulkane,nun,erloschen
nun,erloschen,sind
erloschen,sind,oder
sind,oder,wieder
oder,wieder,ausbrechen
wieder,ausbrechen,läuft
ausbrechen,läuft,für
läuft,für,uns
für,uns,auf
uns,auf,das
auf,das,gleiche
das,gleiche,hinaus
gleiche,hinaus,sagte
hinaus,sagte,der
sagte,der,geograph
der,geograph,was
geograph,was,für
was,für,uns
für,uns,zählt
uns,zählt,ist
zählt,ist,der
ist,der,berg
der,berg,er
berg,er,verändert
er,verändert,sich
verändert,sich,nicht
sich,nicht,aber
nicht,aber,was
aber,was,heißt
was,heißt,vergänglich
heißt,vergänglich,wiederholte
vergänglich,wiederholte,der
wiederholte,der,kleine
der,kleine,prinz
kleine,prinz,der
prinz,der,niemals
der,niemals,von
niemals,von,einer
von,einer,frage
einer,frage,abließ
frage,abließ,die
abließ,die,er
die,er,einmal
er,einmal,gestellt
einmal,gestellt,hatte
gestellt,hatte,das
hatte,das,bedeutet
das,bedeutet,dass
bedeutet,dass,etwas
dass,etwas,von
etwas,von,baldigem
von,baldigem,verschwinden
baldigem,verschwinden,bedrohtist
verschwinden,bedrohtist,meine
bedrohtist,meine,blume
meine,blume,ist
blume,ist,von
ist,von,baldigem
von,baldigem,verschwinden
baldigem,verschwinden,bedroht
verschwinden,bedroht,natürlich
bedroht,natürlich,meine
natürlich,meine,blume
meine,blume,ist
blume,ist,vergänglich
ist,vergänglich,sagte
vergänglich,sagte,sich
sagte,sich,der
sich,der,kleine
der,kleine,prinz
kleine,prinz,und
prinz,und,sie
und,sie,hat
sie,hat,nur
hat,nur,vier
nur,vier,dornen
vier,dornen,um
dornen,um,sich
um,sich,gegen
sich,gegen,die
gegen,die,welt
die,welt,zu
welt,zu,verteidigen
zu,verteidigen,und
verteidigen,und,ich
und,ich,hab
ich,hab,sie
hab,sie,ganz
sie,ganz,allein
ganz,allein,bei
allein,bei,mir
bei,mir,zurückgelassen
mir,zurückgelassen,da
zurückgelassen,da,spürte
da,spürte,er
spürte,er,das
er,das,erste
das,erste,mal
erste,mal,bedauern
mal,bedauern,aber
bedauern,aber,er
aber,er,fasste
er,fasste,neuen
fasste,neuen,mut
neuen,mut,was
mut,was,empfehlen
was,empfehlen,sie
empfehlen,sie,mir
sie,mir,für
mir,für,einen
für,einen,besuch
einen,besuch,fragte
besuch,fragte,er
fragte,er,den
er,den,planeten
den,planeten,erde
planeten,erde,antwortete
erde,antwortete,der
antwortete,der,geograph
der,geograph,er
geograph,er,hat
er,hat,einen
hat,einen,guten
einen,guten,ruf
guten,ruf,da
ruf,da,machte
da,machte,sich
machte,sich,der
sich,der,kleine
der,kleine,prinz
kleine,prinz,auf
prinz,auf,den
auf,den,weg
den,weg,und
weg,und,war
und,war,in
war,in,gedanken
in,gedanken,bei
gedanken,bei,seiner
bei,seiner,blume
seiner,blume,der
blume,der,siebente
der,siebente,planet
siebente,planet,war
planet,war,die
war,die,erde
die,erde,die
erde,die,erde
die,erde,ist
erde,ist,nicht
ist,nicht,irgendein
nicht,irgendein,planet
irgendein,planet,man
planet,man,zählt
man,zählt,dort
zählt,dort,hundertelf
dort,hundertelf,könige
hundertelf,könige,natürlich
könige,natürlich,nicht
natürlich,nicht,ohne
nicht,ohne,die
ohne,die,farbigen
die,farbigen,mitzuzählen
farbigen,mitzuzählen,siebentausend
mitzuzählen,siebentausend,geographen
siebentausend,geographen,neunhunderttausend
geographen,neunhunderttausend,geschäftsmänner
neunhunderttausend,geschäftsmänner,siebeneinhalb
geschäftsmänner,siebeneinhalb,millionen
siebeneinhalb,millionen,säufer
millionen,säufer,dreihundertelf
säufer,dreihundertelf,millionen
dreihundertelf,millionen,eitle
millionen,eitle,das
eitle,das,heißt
das,heißt,ungefähr
heißt,ungefähr,zwei
ungefähr,zwei,milliarden
zwei,milliarden,erwachsene
milliarden,erwachsene,um
erwachsene,um,euch
um,euch,eine
euch,eine,idee
eine,idee,von
idee,von,den
