first,second,third,fourth
und,was,bringt,es
was,bringt,es,dir
bringt,es,dir,reich
es,dir,reich,zu
dir,reich,zu,sein
reich,zu,sein,so
zu,sein,so,kann
sein,so,kann,ich
so,kann,ich,andere
kann,ich,andere,sterne
ich,andere,sterne,kaufen
andere,sterne,kaufen,wen
sterne,kaufen,wen,jemand
kaufen,wen,jemand,welche
wen,jemand,welche,findet
jemand,welche,findet,dieser
welche,findet,dieser,typ
findet,dieser,typ,sagte
dieser,typ,sagte,sich
typ,sagte,sich,der
sagte,sich,der,kleine
sich,der,kleine,prinz
der,kleine,prinz,er
kleine,prinz,er,denkt
prinz,er,denkt,ein
er,denkt,ein,bisschen
denkt,ein,bisschen,so
ein,bisschen,so,wie
bisschen,so,wie,mein
so,wie,mein,säufer
wie,mein,säufer,dennoch
mein,säufer,dennoch,stellte
säufer,dennoch,stellte,er
dennoch,stellte,er,weitere
stellte,er,weitere,fragen
er,weitere,fragen,wie
weitere,fragen,wie,kann
fragen,wie,kann,man
wie,kann,man,denn
kann,man,denn,sterne
man,denn,sterne,besitzen
denn,sterne,besitzen,wem
sterne,besitzen,wem,gehören
besitzen,wem,gehören,sie
wem,gehören,sie,denn
gehören,sie,denn,gab
sie,denn,gab,der
denn,gab,der,geschäftsmann
gab,der,geschäftsmann,mürrisch
der,geschäftsmann,mürrisch,zurück
geschäftsmann,mürrisch,zurück,ich
mürrisch,zurück,ich,weiß
zurück,ich,weiß,nicht
ich,weiß,nicht,niemandem
weiß,nicht,niemandem,na
nicht,niemandem,na,dann
niemandem,na,dann,gehören
na,dann,gehören,sie
dann,gehören,sie,mir
gehören,sie,mir,denn
sie,mir,denn,ich
mir,denn,ich,habe
denn,ich,habe,als
ich,habe,als,erster
habe,als,erster,daran
als,erster,daran,gedacht
erster,daran,gedacht,das
daran,gedacht,das,reicht
gedacht,das,reicht,aus
das,reicht,aus,sicher
reicht,aus,sicher,wenn
aus,sicher,wenn,du
sicher,wenn,du,einen
wenn,du,einen,diamanten
du,einen,diamanten,findest
einen,diamanten,findest,der
diamanten,findest,der,niemandem
findest,der,niemandem,gehört
der,niemandem,gehört,so
niemandem,gehört,so,gehört
gehört,so,gehört,er
so,gehört,er,dir
gehört,er,dir,wenn
er,dir,wenn,du
dir,wenn,du,eine
wenn,du,eine,insel
du,eine,insel,findest
eine,insel,findest,die
insel,findest,die,niemandem
findest,die,niemandem,gehört
die,niemandem,gehört,so
niemandem,gehört,so,gehört
gehört,so,gehört,sie
so,gehört,sie,dir
gehört,sie,dir,wenn
sie,dir,wenn,du
dir,wenn,du,als
wenn,du,als,erster
du,als,erster,eine
als,erster,eine,idee
erster,eine,idee,hast
eine,idee,hast,lässt
idee,hast,lässt,du
hast,lässt,du,sie
lässt,du,sie,patentieren
du,sie,patentieren,sie
sie,patentieren,sie,gehört
patentieren,sie,gehört,dir
sie,gehört,dir,und
gehört,dir,und,mir
dir,und,mir,gehören
und,mir,gehören,die
mir,gehören,die,sterne
gehören,die,sterne,denn
die,sterne,denn,niemand
sterne,denn,niemand,vor
denn,niemand,vor,mir
niemand,vor,mir,hat
vor,mir,hat,sich
mir,hat,sich,darum
hat,sich,darum,geschert
sich,darum,geschert,sie
darum,geschert,sie,zu
geschert,sie,zu,besitzen
sie,zu,besitzen,das
zu,besitzen,das,stimmt
besitzen,das,stimmt,wohl
das,stimmt,wohl,sagte
stimmt,wohl,sagte,der
wohl,sagte,der,kleine
sagte,der,kleine,prinz
der,kleine,prinz,und
kleine,prinz,und,was
prinz,und,was,machst
und,was,machst,du
was,machst,du,mit
machst,du,mit,ihnen
du,mit,ihnen,ich
mit,ihnen,ich,verwalte
ihnen,ich,verwalte,sie
ich,verwalte,sie,ich
verwalte,sie,ich,zähle
sie,ich,zähle,sie
ich,zähle,sie,und
zähle,sie,und,dann
sie,und,dann,zähle
und,dann,zähle,ich
dann,zähle,ich,sie
zähle,ich,sie,wieder
ich,sie,wieder,sagte
sie,wieder,sagte,der
wieder,sagte,der,geschäftsmann
sagte,der,geschäftsmann,das
der,geschäftsmann,das,ist
geschäftsmann,das,ist,schwierig
das,ist,schwierig,aber
ist,schwierig,aber,ich
schwierig,aber,ich,bin
aber,ich,bin,ein
ich,bin,ein,ernstzunehmender
bin,ein,ernstzunehmender,mann
ein,ernstzunehmender,mann,der
ernstzunehmender,mann,der,kleine
mann,der,kleine,prinz
der,kleine,prinz,war
kleine,prinz,war,nicht
prinz,war,nicht,zufrieden
war,nicht,zufrieden,ich
nicht,zufrieden,ich,besitze
zufrieden,ich,besitze,einen
ich,besitze,einen,schal
besitze,einen,schal,den
einen,schal,den,kann
schal,den,kann,ich
den,kann,ich,mir
kann,ich,mir,um
ich,mir,um,den
mir,um,den,hals
um,den,hals,binden
den,hals,binden,und
hals,binden,und,mitnehmen
binden,und,mitnehmen,wenn
und,mitnehmen,wenn,mir
mitnehmen,wenn,mir,eine
wenn,mir,eine,blume
mir,eine,blume,gehört
eine,blume,gehört,kann
blume,gehört,kann,ich
gehört,kann,ich,sie
kann,ich,sie,pflücken
ich,sie,pflücken,und
sie,pflücken,und,mitnehmen
pflücken,und,mitnehmen,aber
und,mitnehmen,aber,du
mitnehmen,aber,du,kannst
aber,du,kannst,die
du,kannst,die,sterne
kannst,die,sterne,ja
die,sterne,ja,nicht
sterne,ja,nicht,pflücken
ja,nicht,pflücken,nein
nicht,pflücken,nein,aber
pflücken,nein,aber,ich
nein,aber,ich,kann
aber,ich,kann,sie
ich,kann,sie,auf
kann,sie,auf,die
sie,auf,die,bank
auf,die,bank,bringen
die,bank,bringen,was
bank,bringen,was,soll
bringen,was,soll,das
was,soll,das,heißen
soll,das,heißen,das
das,heißen,das,bedeutet
heißen,das,bedeutet,ich
das,bedeutet,ich,schreibe
bedeutet,ich,schreibe,die
ich,schreibe,die,anzahl
schreibe,die,anzahl,der
die,anzahl,der,sterne
anzahl,der,sterne,auf
der,sterne,auf,einen
sterne,auf,einen,kleinen
auf,einen,kleinen,zettel
einen,kleinen,zettel,und
kleinen,zettel,und,diesen
zettel,und,diesen,zettel
und,diesen,zettel,verschließe
diesen,zettel,verschließe,ich
zettel,verschließe,ich,dann
verschließe,ich,dann,in
ich,dann,in,einer
dann,in,einer,schublade
in,einer,schublade,das
einer,schublade,das,ist
schublade,das,ist,alles
das,ist,alles,das
ist,alles,das,reicht
alles,das,reicht,schon
das,reicht,schon,das
reicht,schon,das,ist
schon,das,ist,witzig
das,ist,witzig,dachte
ist,witzig,dachte,der
witzig,dachte,der,kleine
dachte,der,kleine,prinz
der,kleine,prinz,es
kleine,prinz,es,klingt
prinz,es,klingt,fast
es,klingt,fast,poetisch
klingt,fast,poetisch,aber
fast,poetisch,aber,wirklich
poetisch,aber,wirklich,ernst
aber,wirklich,ernst,gemeint
wirklich,ernst,gemeint,ist
ernst,gemeint,ist,es
gemeint,ist,es,nicht
ist,es,nicht,von
es,nicht,von,ernsten
nicht,von,ernsten,dingen
von,ernsten,dingen,hatte
ernsten,dingen,hatte,der
dingen,hatte,der,kleine
hatte,der,kleine,prinz
der,kleine,prinz,eine
kleine,prinz,eine,ganz
prinz,eine,ganz,andere
eine,ganz,andere,vorstellung
ganz,andere,vorstellung,als
andere,vorstellung,als,die
vorstellung,als,die,erwachsenen
als,die,erwachsenen,ich
die,erwachsenen,ich,sagte
erwachsenen,ich,sagte,er
ich,sagte,er,noch
sagte,er,noch,ich
er,noch,ich,besitze
noch,ich,besitze,eine
ich,besitze,eine,blume
besitze,eine,blume,die
eine,blume,die,ich
blume,die,ich,jeden
die,ich,jeden,tag
ich,jeden,tag,gieße
jeden,tag,gieße,ich
tag,gieße,ich,besitze
gieße,ich,besitze,drei
ich,besitze,drei,vulkane
besitze,drei,vulkane,die
drei,vulkane,die,ich
vulkane,die,ich,jede
die,ich,jede,woche
ich,jede,woche,fege
jede,woche,fege,denn
woche,fege,denn,ich
fege,denn,ich,fege
denn,ich,fege,sogar
ich,fege,sogar,jenen
fege,sogar,jenen,der
sogar,jenen,der,schon
jenen,der,schon,erloschenen
der,schon,erloschenen,ist
schon,erloschenen,ist,man
erloschenen,ist,man,weiß
ist,man,weiß,ja
man,weiß,ja,nie
weiß,ja,nie,meinen
ja,nie,meinen,vulkanen
nie,meinen,vulkanen,nutzt
meinen,vulkanen,nutzt,es
vulkanen,nutzt,es,ebenso
nutzt,es,ebenso,wie
es,ebenso,wie,meiner
ebenso,wie,meiner,blume
wie,meiner,blume,dass
meiner,blume,dass,ich
blume,dass,ich,sie
dass,ich,sie,besitze
ich,sie,besitze,aber
sie,besitze,aber,für
besitze,aber,für,deine
aber,für,deine,sterne
für,deine,sterne,bist
deine,sterne,bist,du
sterne,bist,du,ganz
bist,du,ganz,unnütz
du,ganz,unnütz,der
ganz,unnütz,der,geschäftsmann
unnütz,der,geschäftsmann,öffnete
der,geschäftsmann,öffnete,den
geschäftsmann,öffnete,den,mund
öffnete,den,mund,aber
den,mund,aber,ihm
mund,aber,ihm,fiel
aber,ihm,fiel,keine
ihm,fiel,keine,antwort
fiel,keine,antwort,ein
keine,antwort,ein,und
antwort,ein,und,der
ein,und,der,kleine
und,der,kleine,prinz
der,kleine,prinz,machte
kleine,prinz,machte,sich
prinz,machte,sich,auf
machte,sich,auf,und
sich,auf,und,davon
auf,und,davon,die
und,davon,die,erwachsenen
davon,die,erwachsenen,sind
die,erwachsenen,sind,doch
erwachsenen,sind,doch,wirklich
sind,doch,wirklich,komisch
doch,wirklich,komisch,sagte
wirklich,komisch,sagte,er
komisch,sagte,er,sich
sagte,er,sich,auf
er,sich,auf,seiner
sich,auf,seiner,reise
auf,seiner,reise,der
seiner,reise,der,fünfte
reise,der,fünfte,planet
der,fünfte,planet,war
fünfte,planet,war,äußerst
planet,war,äußerst,merkwürdig
war,äußerst,merkwürdig,es
äußerst,merkwürdig,es,war
merkwürdig,es,war,der
es,war,der,kleinste
war,der,kleinste,von
der,kleinste,von,allen
kleinste,von,allen,es
von,allen,es,gab
allen,es,gab,gerade
es,gab,gerade,genug
gab,gerade,genug,platz
gerade,genug,platz,für
genug,platz,für,eine
platz,für,eine,straßenlaterne
für,eine,straßenlaterne,und
eine,straßenlaterne,und,einen
straßenlaterne,und,einen,laternenanzünder
und,einen,laternenanzünder,der
einen,laternenanzünder,der,kleine
laternenanzünder,der,kleine,prinz
der,kleine,prinz,konnte
kleine,prinz,konnte,sich
prinz,konnte,sich,nicht
konnte,sich,nicht,erklären
sich,nicht,erklären,wozu
nicht,erklären,wozu,man
erklären,wozu,man,irgendwo
wozu,man,irgendwo,im
man,irgendwo,im,himmel
irgendwo,im,himmel,auf
im,himmel,auf,einem
himmel,auf,einem,planeten
auf,einem,planeten,ohne
einem,planeten,ohne,häuser
planeten,ohne,häuser,und
ohne,häuser,und,menschen
häuser,und,menschen,eine
und,menschen,eine,straßenlaterne
menschen,eine,straßenlaterne,und
eine,straßenlaterne,und,einen
straßenlaterne,und,einen,laternenanzünder
und,einen,laternenanzünder,gebrauchen
einen,laternenanzünder,gebrauchen,könnte
laternenanzünder,gebrauchen,könnte,dennoch
gebrauchen,könnte,dennoch,sagte
könnte,dennoch,sagte,er
dennoch,sagte,er,sich
sagte,er,sich,gut
er,sich,gut,möglich
sich,gut,möglich,dass
gut,möglich,dass,dieser
möglich,dass,dieser,mann
dass,dieser,mann,merkwürdig
dieser,mann,merkwürdig,ist
mann,merkwürdig,ist,dennoch
merkwürdig,ist,dennoch,ist
ist,dennoch,ist,er
dennoch,ist,er,nicht
ist,er,nicht,so
er,nicht,so,merkwürdig
nicht,so,merkwürdig,wie
so,merkwürdig,wie,der
merkwürdig,wie,der,könig
wie,der,könig,der
der,könig,der,eitle
könig,der,eitle,der
der,eitle,der,geschäftsmann
eitle,der,geschäftsmann,oder
der,geschäftsmann,oder,der
geschäftsmann,oder,der,säufer
oder,der,säufer,seine
der,säufer,seine,arbeit
säufer,seine,arbeit,hat
seine,arbeit,hat,zumindest
arbeit,hat,zumindest,einen
hat,zumindest,einen,sinn
zumindest,einen,sinn,wenn
einen,sinn,wenn,er
sinn,wenn,er,seine
wenn,er,seine,laterne
er,seine,laterne,anzündet
seine,laterne,anzündet,dann
laterne,anzündet,dann,ist
anzündet,dann,ist,es
dann,ist,es,so
ist,es,so,als
es,so,als,würde
so,als,würde,er
als,würde,er,einen
würde,er,einen,neuen
er,einen,neuen,stern
einen,neuen,stern,erschaffen
neuen,stern,erschaffen,oder
stern,erschaffen,oder,eine
erschaffen,oder,eine,blume
oder,eine,blume,wenn
eine,blume,wenn,er
blume,wenn,er,seine
wenn,er,seine,laterne
er,seine,laterne,löscht
seine,laterne,löscht,schläft
laterne,löscht,schläft,ein
löscht,schläft,ein,stern
schläft,ein,stern,ein
ein,stern,ein,oder
stern,ein,oder,eine
ein,oder,eine,blume
oder,eine,blume,das
eine,blume,das,ist
blume,das,ist,eine
das,ist,eine,sehr
ist,eine,sehr,schöne
eine,sehr,schöne,beschäftigung
sehr,schöne,beschäftigung,es
schöne,beschäftigung,es,ist
beschäftigung,es,ist,wirklich
es,ist,wirklich,nützlich
ist,wirklich,nützlich,weil
wirklich,nützlich,weil,es
nützlich,weil,es,schön
weil,es,schön,ist
es,schön,ist,als
schön,ist,als,er
ist,als,er,auf
als,er,auf,dem
er,auf,dem,planeten
auf,dem,planeten,landete
dem,planeten,landete,grüßte
planeten,landete,grüßte,er
landete,grüßte,er,den
grüßte,er,den,laternenanzünder
er,den,laternenanzünder,respektvoll
den,laternenanzünder,respektvoll,guten
laternenanzünder,respektvoll,guten,tag
respektvoll,guten,tag,warum
guten,tag,warum,hast
tag,warum,hast,du
warum,hast,du,denn
hast,du,denn,gerade
du,denn,gerade,deine
denn,gerade,deine,laterne
gerade,deine,laterne,gelöscht
deine,laterne,gelöscht,so
laterne,gelöscht,so,lautet
gelöscht,so,lautet,die
so,lautet,die,vorschrift
lautet,die,vorschrift,sagte
die,vorschrift,sagte,der
vorschrift,sagte,der,laternenanzünder
sagte,der,laternenanzünder,guten
der,laternenanzünder,guten,tag
laternenanzünder,guten,tag,was
guten,tag,was,ist
tag,was,ist,die
was,ist,die,vorschrift
ist,die,vorschrift,die
die,vorschrift,die,laterne
vorschrift,die,laterne,zu
die,laterne,zu,löschen
laterne,zu,löschen,guten
zu,löschen,guten,abend
löschen,guten,abend,und
guten,abend,und,er
abend,und,er,zündete
und,er,zündete,sie
er,zündete,sie,wieder
zündete,sie,wieder,an
sie,wieder,an,warum
wieder,an,warum,hast
an,warum,hast,du
warum,hast,du,sie
hast,du,sie,nun
du,sie,nun,wieder
sie,nun,wieder,angezündet
nun,wieder,angezündet,das
wieder,angezündet,das,ist
angezündet,das,ist,die
das,ist,die,vorschrift
ist,die,vorschrift,antwortete
die,vorschrift,antwortete,der
vorschrift,antwortete,der,laternenanzünder
antwortete,der,laternenanzünder,ich
der,laternenanzünder,ich,verstehe
laternenanzünder,ich,verstehe,es
ich,verstehe,es,nicht
verstehe,es,nicht,sagte
es,nicht,sagte,der
nicht,sagte,der,kleine
sagte,der,kleine,prinz
der,kleine,prinz,da
kleine,prinz,da,gibt
prinz,da,gibt,es
da,gibt,es,nichts
gibt,es,nichts,zu
es,nichts,zu,verstehen
nichts,zu,verstehen,sagte
zu,verstehen,sagte,der
verstehen,sagte,der,laternenanzünder
sagte,der,laternenanzünder,vorschrift
der,laternenanzünder,vorschrift,ist
laternenanzünder,vorschrift,ist,vorschrift
vorschrift,ist,vorschrift,guten
ist,vorschrift,guten,tag
vorschrift,guten,tag,und
guten,tag,und,er
tag,und,er,machte
und,er,machte,die
er,machte,die,laterne
machte,die,laterne,ausdann
die,laterne,ausdann,wischte
laterne,ausdann,wischte,er
ausdann,wischte,er,sich
wischte,er,sich,mit
er,sich,mit,einem
sich,mit,einem,rotkarierten
mit,einem,rotkarierten,taschentuch
einem,rotkarierten,taschentuch,die
rotkarierten,taschentuch,die,stirn
taschentuch,die,stirn,ab
die,stirn,ab,ich
stirn,ab,ich,habe
ab,ich,habe,einen
ich,habe,einen,schrecklichen
habe,einen,schrecklichen,beruf
einen,schrecklichen,beruf,früher
schrecklichen,beruf,früher,war
beruf,früher,war,das
früher,war,das,vernünftig
war,das,vernünftig,am
das,vernünftig,am,morgen
vernünftig,am,morgen,löschte
am,morgen,löschte,ich
morgen,löschte,ich,sie
löschte,ich,sie,aus
ich,sie,aus,und
sie,aus,und,am
aus,und,am,abend
und,am,abend,zündete
am,abend,zündete,ich
abend,zündete,ich,sie
zündete,ich,sie,wieder
ich,sie,wieder,an
sie,wieder,an,der
wieder,an,der,rest
an,der,rest,des
der,rest,des,tages
rest,des,tages,blieb
des,tages,blieb,mir
tages,blieb,mir,zum
blieb,mir,zum,erholen
mir,zum,erholen,und
zum,erholen,und,die
erholen,und,die,nacht
und,die,nacht,zum
die,nacht,zum,schlafen
nacht,zum,schlafen,und
zum,schlafen,und,seitdem
schlafen,und,seitdem,wurde
und,seitdem,wurde,die
seitdem,wurde,die,vorschrift
wurde,die,vorschrift,geändert
die,vorschrift,geändert,die
vorschrift,geändert,die,vorschrift
geändert,die,vorschrift,hat
die,vorschrift,hat,sich
vorschrift,hat,sich,nicht
hat,sich,nicht,geändert
sich,nicht,geändert,sagte
nicht,geändert,sagte,der
geändert,sagte,der,laternenanzünder
sagte,der,laternenanzünder,das
der,laternenanzünder,das,ist
laternenanzünder,das,ist,ja
das,ist,ja,das
ist,ja,das,drama
ja,das,drama,der
das,drama,der,planet
drama,der,planet,hat
der,planet,hat,sich
planet,hat,sich,von
hat,sich,von,jahr
sich,von,jahr,zu
von,jahr,zu,jahr
jahr,zu,jahr,schneller
zu,jahr,schneller,gedreht
jahr,schneller,gedreht,aber
schneller,gedreht,aber,die
gedreht,aber,die,vorschrift
aber,die,vorschrift,wurde
die,vorschrift,wurde,nicht
vorschrift,wurde,nicht,geändert
wurde,nicht,geändert,ja
nicht,geändert,ja,und
geändert,ja,und,sagte
ja,und,sagte,der
und,sagte,der,kleine
sagte,der,kleine,prinz
der,kleine,prinz,jetzt
kleine,prinz,jetzt,dreht
prinz,jetzt,dreht,er
jetzt,dreht,er,sich
dreht,er,sich,ein
er,sich,ein,mal
sich,ein,mal,pro
ein,mal,pro,minute
mal,pro,minute,mir
pro,minute,mir,bleibt
minute,mir,bleibt,keine
mir,bleibt,keine,sekunde
bleibt,keine,sekunde,pause
keine,sekunde,pause,pro
sekunde,pause,pro,minute
pause,pro,minute,zünde
pro,minute,zünde,ich
minute,zünde,ich,einmal
zünde,ich,einmal,an
ich,einmal,an,und
einmal,an,und,lösche
an,und,lösche,einmal
und,lösche,einmal,aus
lösche,einmal,aus,das
einmal,aus,das,ist
aus,das,ist,lustig
das,ist,lustig,bei
ist,lustig,bei,dir
lustig,bei,dir,dauern
bei,dir,dauern,die
dir,dauern,die,tage
dauern,die,tage,nur
die,tage,nur,eine
tage,nur,eine,minute
nur,eine,minute,das
eine,minute,das,ist
minute,das,ist,überhaupt
das,ist,überhaupt,nicht
ist,überhaupt,nicht,lustig
überhaupt,nicht,lustig,sagte
nicht,lustig,sagte,der
lustig,sagte,der,laternenanzünder
sagte,der,laternenanzünder,jetzt
der,laternenanzünder,jetzt,reden
laternenanzünder,jetzt,reden,wir
jetzt,reden,wir,schon
reden,wir,schon,einen
wir,schon,einen,monat
schon,einen,monat,lang
einen,monat,lang,miteinander
monat,lang,miteinander,einen
lang,miteinander,einen,monat
miteinander,einen,monat,ja
einen,monat,ja,dreißig
monat,ja,dreißig,minuten
ja,dreißig,minuten,dreißig
dreißig,minuten,dreißig,tage
minuten,dreißig,tage,guten
dreißig,tage,guten,abend
tage,guten,abend,und
guten,abend,und,er
abend,und,er,zündete
und,er,zündete,seine
er,zündete,seine,laterne
zündete,seine,laterne,wieder
seine,laterne,wieder,an
laterne,wieder,an,der
wieder,an,der,kleine
an,der,kleine,prinz
der,kleine,prinz,schaute
kleine,prinz,schaute,ihn
prinz,schaute,ihn,an
schaute,ihn,an,und
ihn,an,und,er
an,und,er,liebte
und,er,liebte,diesen
er,liebte,diesen,anzünder
liebte,diesen,anzünder,der
diesen,anzünder,der,sich
anzünder,der,sich,so
der,sich,so,streng
sich,so,streng,an
so,streng,an,die
streng,an,die,vorschrift
an,die,vorschrift,hielt
die,vorschrift,hielt,er
vorschrift,hielt,er,erinnerte
hielt,er,erinnerte,sich
er,erinnerte,sich,an
erinnerte,sich,an,die
sich,an,die,sonnenuntergänge
an,die,sonnenuntergänge,und
die,sonnenuntergänge,und,wie
sonnenuntergänge,und,wie,er
und,wie,er,auf
wie,er,auf,deren
er,auf,deren,suche
auf,deren,suche,früher
deren,suche,früher,seinen
suche,früher,seinen,stuhl
früher,seinen,stuhl,rückte
seinen,stuhl,rückte,er
stuhl,rückte,er,wollte
rückte,er,wollte,seinem
er,wollte,seinem,freund
wollte,seinem,freund,helfen
seinem,freund,helfen,weißt
freund,helfen,weißt,du
helfen,weißt,du,ich
weißt,du,ich,weiß
du,ich,weiß,einen
ich,weiß,einen,weg
weiß,einen,weg,wie
einen,weg,wie,du
weg,wie,du,dich
wie,du,dich,ausruhen
du,dich,ausruhen,kannst
dich,ausruhen,kannst,wann
ausruhen,kannst,wann,immer
kannst,wann,immer,du
wann,immer,du,möchtest
immer,du,möchtest,immer
du,möchtest,immer,her
möchtest,immer,her,damit
immer,her,damit,sagte
her,damit,sagte,der
damit,sagte,der,laternenanzünder
sagte,der,laternenanzünder,man
der,laternenanzünder,man,kann
laternenanzünder,man,kann,gleichzeitig
man,kann,gleichzeitig,pflichtbewusst
kann,gleichzeitig,pflichtbewusst,und
gleichzeitig,pflichtbewusst,und,faul
pflichtbewusst,und,faul,sein
und,faul,sein,der
faul,sein,der,kleine
sein,der,kleine,prinz
der,kleine,prinz,fuhr
kleine,prinz,fuhr,fort
prinz,fuhr,fort,dein
fuhr,fort,dein,planet
fort,dein,planet,ist
dein,planet,ist,derart
planet,ist,derart,klein
ist,derart,klein,dass
derart,klein,dass,du
klein,dass,du,ihn
dass,du,ihn,mit
du,ihn,mit,drei
ihn,mit,drei,hüpfern
mit,drei,hüpfern,umrundet
drei,hüpfern,umrundet,hast
hüpfern,umrundet,hast,du
umrundet,hast,du,musst
hast,du,musst,nur
du,musst,nur,sehr
musst,nur,sehr,langsam
nur,sehr,langsam,laufen
sehr,langsam,laufen,um
langsam,laufen,um,immer
laufen,um,immer,in
um,immer,in,der
immer,in,der,sonne
in,der,sonne,zu
der,sonne,zu,bleiben
sonne,zu,bleiben,wenn
zu,bleiben,wenn,du
bleiben,wenn,du,dich
wenn,du,dich,ausruhen
du,dich,ausruhen,willst
dich,ausruhen,willst,läufst
ausruhen,willst,läufst,du
willst,läufst,du,und
läufst,du,und,der
du,und,der,tag
und,der,tag,dauert
der,tag,dauert,so
tag,dauert,so,lange
dauert,so,lange,wie
so,lange,wie,du
lange,wie,du,magst
wie,du,magst,das
du,magst,das,bringt
magst,das,bringt,mich
das,bringt,mich,nicht
bringt,mich,nicht,sonderlich
mich,nicht,sonderlich,weiter
nicht,sonderlich,weiter,sagte
sonderlich,weiter,sagte,der
weiter,sagte,der,anzünder
sagte,der,anzünder,was
der,anzünder,was,ich
anzünder,was,ich,im
was,ich,im,leben
ich,im,leben,liebe
im,leben,liebe,ist
leben,liebe,ist,das
liebe,ist,das,schlafen
ist,das,schlafen,dann
das,schlafen,dann,bringt
schlafen,dann,bringt,es
dann,bringt,es,nichts
bringt,es,nichts,dann
es,nichts,dann,bringt
nichts,dann,bringt,es
dann,bringt,es,wohl
bringt,es,wohl,nichts
es,wohl,nichts,sagte
wohl,nichts,sagte,der
nichts,sagte,der,anzünder
sagte,der,anzünder,guten
der,anzünder,guten,tag
anzünder,guten,tag,und
guten,tag,und,er
tag,und,er,löschte
und,er,löschte,seine
er,löschte,seine,laterne
löschte,seine,laterne,dieser
seine,laterne,dieser,kerl
laterne,dieser,kerl,sagte
dieser,kerl,sagte,sich
kerl,sagte,sich,der
sagte,sich,der,kleine
sich,der,kleine,prinz
der,kleine,prinz,während
kleine,prinz,während,er
prinz,während,er,seine
während,er,seine,reise
er,seine,reise,fortsetzte
seine,reise,fortsetzte,dieser
reise,fortsetzte,dieser,kerl
fortsetzte,dieser,kerl,würde
dieser,kerl,würde,von
kerl,würde,von,allen
würde,von,allen,anderen
von,allen,anderen,verachtet
allen,anderen,verachtet,werden
anderen,verachtet,werden,vom
verachtet,werden,vom,könig
werden,vom,könig,vom
vom,könig,vom,eitlen
könig,vom,eitlen,vom
vom,eitlen,vom,säufer
eitlen,vom,säufer,und
vom,säufer,und,vom
säufer,und,vom,geschäftsmann
und,vom,geschäftsmann,dennoch
vom,geschäftsmann,dennoch,ist
geschäftsmann,dennoch,ist,er
dennoch,ist,er,der
ist,er,der,einzige
er,der,einzige,der
der,einzige,der,mir
einzige,der,mir,nicht
der,mir,nicht,lächerlich
mir,nicht,lächerlich,vorkommt
nicht,lächerlich,vorkommt,vielleicht
lächerlich,vorkommt,vielleicht,weil
vorkommt,vielleicht,weil,er
vielleicht,weil,er,sich
weil,er,sich,nicht
er,sich,nicht,nur
sich,nicht,nur,mit
nicht,nur,mit,sich
nur,mit,sich,selbst
mit,sich,selbst,beschäftigt
sich,selbst,beschäftigt,er
selbst,beschäftigt,er,seufzte
beschäftigt,er,seufzte,vor
er,seufzte,vor,bedauern
seufzte,vor,bedauern,und
vor,bedauern,und,sagte
bedauern,und,sagte,sich
und,sagte,sich,noch
sagte,sich,noch,dieser
sich,noch,dieser,kerl
noch,dieser,kerl,ist
dieser,kerl,ist,der
kerl,ist,der,einzige
ist,der,einzige,mit
der,einzige,mit,dem
einzige,mit,dem,ich
mit,dem,ich,mich
dem,ich,mich,angefreundet
ich,mich,angefreundet,hätte
mich,angefreundet,hätte,aber
angefreundet,hätte,aber,sein
hätte,aber,sein,planet
aber,sein,planet,ist
sein,planet,ist,wirklich
planet,ist,wirklich,zu
ist,wirklich,zu,klein
wirklich,zu,klein,es
zu,klein,es,gibt
klein,es,gibt,keinen
es,gibt,keinen,platz
gibt,keinen,platz,für
keinen,platz,für,zwei
platz,für,zwei,was
für,zwei,was,sich
zwei,was,sich,der
was,sich,der,kleine
sich,der,kleine,prinz
der,kleine,prinz,nicht
kleine,prinz,nicht,einzugestehen
prinz,nicht,einzugestehen,wagte
nicht,einzugestehen,wagte,war
einzugestehen,wagte,war,dass
wagte,war,dass,er
war,dass,er,diesem
dass,er,diesem,planeten
er,diesem,planeten,vor
diesem,planeten,vor,allem
planeten,vor,allem,wegen
vor,allem,wegen,der
allem,wegen,der,tausendvierhundertvierzig
wegen,der,tausendvierhundertvierzig,sonnenuntergänge
der,tausendvierhundertvierzig,sonnenuntergänge,in
tausendvierhundertvierzig,sonnenuntergänge,in,vierundzwanzig
sonnenuntergänge,in,vierundzwanzig,stunden
in,vierundzwanzig,stunden,nachtrauerte
vierundzwanzig,stunden,nachtrauerte,der
stunden,nachtrauerte,der,sechste
nachtrauerte,der,sechste,planet
der,sechste,planet,war
sechste,planet,war,um
planet,war,um,das
war,um,das,zehnfache
um,das,zehnfache,größer
das,zehnfache,größer,hier
zehnfache,größer,hier,wohnte
größer,hier,wohnte,ein
hier,wohnte,ein,alter
wohnte,ein,alter,herr
ein,alter,herr,der
alter,herr,der,dicke
herr,der,dicke,bücher
der,dicke,bücher,schrieb
dicke,bücher,schrieb,sieh
bücher,schrieb,sieh,da
schrieb,sieh,da,ein
sieh,da,ein,forscher
da,ein,forscher,freute
ein,forscher,freute,er
forscher,freute,er,sich
freute,er,sich,als
er,sich,als,er
sich,als,er,den
als,er,den,kleinen
er,den,kleinen,prinzen
den,kleinen,prinzen,erblickte
kleinen,prinzen,erblickte,der
prinzen,erblickte,der,kleine
